id,university,campus,suburb,distance
115,La Trobe University,Melbourne,NOBLE PARK,30.21
116,La Trobe University,Melbourne,DANDENONG,33.636
117,La Trobe University,Melbourne,DANDENONG NORTH,31.153
118,La Trobe University,Melbourne,ROWVILLE,28.958
119,La Trobe University,Melbourne,SCORESBY,25.479
120,La Trobe University,Melbourne,PRAHRAN,15.387
121,La Trobe University,Melbourne,WINDSOR,16.127
122,La Trobe University,Melbourne,ST KILDA,17.692
123,La Trobe University,Melbourne,ELWOOD,19.724
124,La Trobe University,Melbourne,ELSTERNWICK,18.984
125,La Trobe University,Melbourne,BRIGHTON,22.3
126,La Trobe University,Melbourne,BRIGHTON EAST,21.217
127,La Trobe University,Melbourne,HAMPTON,20.655
128,La Trobe University,Melbourne,CHELTENHAM,27.575
129,La Trobe University,Melbourne,BEAUMARIS,29.99
130,La Trobe University,Melbourne,MENTONE,29.656
131,La Trobe University,Melbourne,ASPENDALE,34.834
132,La Trobe University,Melbourne,MORDIALLOC,32.526
133,La Trobe University,Melbourne,PARKDALE,30.816
134,La Trobe University,Melbourne,CHELSEA,37.873
135,La Trobe University,Melbourne,CARRUM,40.616
136,La Trobe University,Melbourne,SEAFORD,44.629
137,La Trobe University,Melbourne,FRANKSTON,48.15
138,La Trobe University,Melbourne,CARRUM DOWNS,43.605
139,La Trobe University,Melbourne,BENTLEIGH,22.391
140,La Trobe University,Melbourne,SOUTH MELBOURNE,24.049
141,La Trobe University,Melbourne,ALBERT PARK,15.776
142,La Trobe University,Melbourne,MIDDLE PARK,16.292
143,La Trobe University,Melbourne,PORT MELBOURNE,28.817
144,La Trobe University,Melbourne,LARA,65.365
145,La Trobe University,Melbourne,CORIO,72.088
146,La Trobe University,Melbourne,NORTH GEELONG,75.49
147,La Trobe University,Melbourne,BELMONT,79.922
148,La Trobe University,Melbourne,GROVEDALE,82.977
149,La Trobe University,Melbourne,GEELONG WEST,77.237
150,La Trobe University,Melbourne,HERNE HILL,77.838
151,La Trobe University,Melbourne,GEELONG,76.712
152,La Trobe University,Melbourne,NEWTOWN,78.927
153,La Trobe University,Melbourne,OCEAN GROVE,75.737
154,La Trobe University,Melbourne,BARWON HEADS,79.261
155,La Trobe University,Melbourne,TORQUAY,93.154
156,La Trobe University,Melbourne,WARRNAMBOOL,236.357
157,La Trobe University,Melbourne,HAMILTON,266.164
158,La Trobe University,Melbourne,PORTLAND,311.063
159,La Trobe University,Melbourne,MELTON,40.694
160,La Trobe University,Melbourne,ALFREDTON,109.529
161,La Trobe University,Melbourne,BALLARAT,105.366
162,La Trobe University,Melbourne,MOUNT CLEAR,104.278
163,La Trobe University,Melbourne,WENDOUREE,108.639
164,La Trobe University,Melbourne,DELACOMBE,109.887
165,La Trobe University,Melbourne,SEBASTOPOL,106.774
166,La Trobe University,Melbourne,BUNINYONG,99.369
167,La Trobe University,Melbourne,HORSHAM,275.363
168,La Trobe University,Melbourne,SUNBURY,31.599
169,La Trobe University,Melbourne,CASTLEMAINE,103.073
170,La Trobe University,Melbourne,MILDURA,471.354
171,La Trobe University,Melbourne,BENDIGO,126.325
172,La Trobe University,Melbourne,FLORA HILL,124.35
173,La Trobe University,Melbourne,NORTH BENDIGO,127.225
174,La Trobe University,Melbourne,GOLDEN SQUARE,125.604
175,La Trobe University,Melbourne,KANGAROO FLAT,124.519
176,La Trobe University,Melbourne,ECHUCA,178.748
177,La Trobe University,Melbourne,SWAN HILL,296.362
178,La Trobe University,Melbourne,SHEPPARTON,152.028
179,La Trobe University,Melbourne,SEYMOUR,77.416
180,La Trobe University,Melbourne,BENALLA,152.004
181,La Trobe University,Melbourne,WODONGA,6.573
182,La Trobe University,Melbourne,WHITTLESEA,23.5
183,La Trobe University,Melbourne,ENDEAVOUR HILLS,34.228
184,La Trobe University,Melbourne,NARRE WARREN,41.511
185,La Trobe University,Melbourne,BERWICK,43.808
186,La Trobe University,Melbourne,PAKENHAM,56.33
187,La Trobe University,Melbourne,WARRAGUL,92.402
188,La Trobe University,Melbourne,MOE,118.818
189,La Trobe University,Melbourne,NEWBOROUGH,121.008
190,La Trobe University,Melbourne,MORWELL,132.267
191,La Trobe University,Melbourne,TRARALGON,141.54
192,La Trobe University,Melbourne,SALE,183.14
193,La Trobe University,Melbourne,MAFFRA,172.116
194,La Trobe University,Melbourne,BAIRNSDALE,227.838
195,La Trobe University,Melbourne,HASTINGS,67.013
196,La Trobe University,Melbourne,FLINDERS,84.279
