,university,campus,from suburb,distance
120,La Trobe University,Melboune,ROWVILLE,28.958
121,La Trobe University,Melboune,SCORESBY,25.479
122,La Trobe University,Melboune,PRAHRAN,15.387
123,La Trobe University,Melboune,WINDSOR,16.127
124,La Trobe University,Melboune,ST KILDA,17.692
125,La Trobe University,Melboune,ELWOOD,19.724
126,La Trobe University,Melboune,ELSTERNWICK,18.984
127,La Trobe University,Melboune,BRIGHTON,22.3
128,La Trobe University,Melboune,BRIGHTON EAST,21.217
129,La Trobe University,Melboune,HAMPTON,20.655
130,La Trobe University,Melboune,CHELTENHAM,27.575
131,La Trobe University,Melboune,BEAUMARIS,29.99
132,La Trobe University,Melboune,MENTONE,29.656
133,La Trobe University,Melboune,ASPENDALE,34.834
134,La Trobe University,Melboune,MORDIALLOC,32.526
135,La Trobe University,Melboune,PARKDALE,30.816
136,La Trobe University,Melboune,CHELSEA,37.873
137,La Trobe University,Melboune,CARRUM,40.616
138,La Trobe University,Melboune,SEAFORD,44.629
139,La Trobe University,Melboune,FRANKSTON,48.15
140,La Trobe University,Melboune,CARRUM DOWNS,43.605
141,La Trobe University,Melboune,BENTLEIGH,22.391
142,La Trobe University,Melboune,SOUTH MELBOURNE,24.049
143,La Trobe University,Melboune,ALBERT PARK,15.776
144,La Trobe University,Melboune,MIDDLE PARK,16.292
145,La Trobe University,Melboune,PORT MELBOURNE,28.817
146,La Trobe University,Melboune,LARA,65.365
147,La Trobe University,Melboune,CORIO,72.088
148,La Trobe University,Melboune,NORTH GEELONG,75.49
149,La Trobe University,Melboune,BELMONT,79.922
150,La Trobe University,Melboune,GROVEDALE,82.977
151,La Trobe University,Melboune,GEELONG WEST,77.237
152,La Trobe University,Melboune,HERNE HILL,77.838
153,La Trobe University,Melboune,GEELONG,76.712
154,La Trobe University,Melboune,NEWTOWN,78.927
155,La Trobe University,Melboune,OCEAN GROVE,75.737
156,La Trobe University,Melboune,BARWON HEADS,79.261
157,La Trobe University,Melboune,TORQUAY,93.154
158,La Trobe University,Melboune,WARRNAMBOOL,236.357
159,La Trobe University,Melboune,HAMILTON,266.164
160,La Trobe University,Melboune,PORTLAND,311.063
161,La Trobe University,Melboune,MELTON,40.694
162,La Trobe University,Melboune,ALFREDTON,109.529
163,La Trobe University,Melboune,BALLARAT,105.366
164,La Trobe University,Melboune,MOUNT CLEAR,104.278
165,La Trobe University,Melboune,WENDOUREE,108.639
166,La Trobe University,Melboune,DELACOMBE,109.887
167,La Trobe University,Melboune,SEBASTOPOL,106.774
168,La Trobe University,Melboune,BUNINYONG,99.369
169,La Trobe University,Melboune,HORSHAM,275.363
170,La Trobe University,Melboune,SUNBURY,31.599
171,La Trobe University,Melboune,CASTLEMAINE,103.073
172,La Trobe University,Melboune,MILDURA,471.354
173,La Trobe University,Melboune,BENDIGO,126.325
174,La Trobe University,Melboune,FLORA HILL,124.35
175,La Trobe University,Melboune,NORTH BENDIGO,127.225
176,La Trobe University,Melboune,GOLDEN SQUARE,125.604
177,La Trobe University,Melboune,KANGAROO FLAT,124.519
178,La Trobe University,Melboune,ECHUCA,178.748
179,La Trobe University,Melboune,SWAN HILL,296.362
180,La Trobe University,Melboune,SHEPPARTON,152.028
181,La Trobe University,Melboune,SEYMOUR,77.416
182,La Trobe University,Melboune,BENALLA,152.004
183,La Trobe University,Melboune,WODONGA,240.912
184,La Trobe University,Melboune,WHITTLESEA,23.5
185,La Trobe University,Melboune,ENDEAVOUR HILLS,34.228
186,La Trobe University,Melboune,NARRE WARREN,41.511
187,La Trobe University,Melboune,BERWICK,43.808
188,La Trobe University,Melboune,PAKENHAM,56.33
189,La Trobe University,Melboune,WARRAGUL,92.402
190,La Trobe University,Melboune,MOE,118.818
191,La Trobe University,Melboune,NEWBOROUGH,121.008
192,La Trobe University,Melboune,MORWELL,132.267
193,La Trobe University,Melboune,TRARALGON,141.54
194,La Trobe University,Melboune,SALE,183.14
195,La Trobe University,Melboune,MAFFRA,172.116
