postcode,Suburb,lat,lon,Food Services,Total_businesses,convenient_level,food_service_level,Region,Average_per_person,House_rent
3163,MURRUMBEENA,-37.89069,145.067589,27,799,2,2,Southern Melbourne,212,176
3166,HUGHESDALE,-37.895763,145.076545,22,598,1,2,Southern Melbourne,212,176
3166,OAKLEIGH,-37.899854,145.087116,186,3633,4,4,Inner Eastern Melbourne,202,150
3168,CLAYTON,-37.925488,145.119662,139,2498,4,4,Inner Eastern Melbourne,191,146
3170,MULGRAVE,-37.869611,145.102866,84,2261,3,3,Inner Eastern Melbourne,202,150
3171,SPRINGVALE,-37.97103,145.148499,127,2154,3,4,South Eastern Melbourne,175,130
3174,NOBLE PARK,-37.967254,145.176167,97,2111,3,3,South Eastern Melbourne,163,123
3175,DANDENONG,-37.987271,145.214317,178,6261,4,4,South Eastern Melbourne,150,127
3175,DANDENONG NORTH,-37.965724,145.205645,39,1191,2,2,South Eastern Melbourne,160,118
3178,ROWVILLE,-37.928005,145.235811,90,2789,4,3,Outer Eastern Melbourne,187,141
3179,SCORESBY,-37.864883,145.26427,43,1530,3,2,Outer Eastern Melbourne,186,138
3181,PRAHRAN,-37.849577,144.993714,198,2987,4,4,Inner Melbourne,251,263
3181,WINDSOR,-37.856159,144.9922,,,3,3,Inner Melbourne,251,263
3182,ST KILDA,-37.867573,144.978814,241,4317,4,4,Inner Melbourne,242,253
3184,ELWOOD,-37.888121,144.985026,54,1548,3,3,Inner Melbourne,227,284
3185,ELSTERNWICK,-37.884724,145.004153,79,1553,3,3,Southern Melbourne,224,251
3186,BRIGHTON,-37.913149,144.991682,,,3,3,Southern Melbourne,270,302
3187,BRIGHTON EAST,-37.904879,145.002603,43,1898,3,2,Southern Melbourne,226,221
3188,HAMPTON,-37.89802,144.991601,76,2012,3,3,Southern Melbourne,236,239
3192,CHELTENHAM,-37.96451,145.055873,151,4049,4,4,Southern Melbourne,204,174
3193,BEAUMARIS,-37.986285,145.032876,53,1615,3,3,Southern Melbourne,236,239
3194,MENTONE,-37.982859,145.0649,55,1213,2,3,Southern Melbourne,198,177
3195,ASPENDALE,-38.026479,145.101908,50,1489,3,2,Southern Melbourne,188,151
3195,MORDIALLOC,-38.007154,145.086849,72,2075,3,3,Southern Melbourne,198,177
3195,PARKDALE,-37.992659,145.075479,72,2075,3,3,Southern Melbourne,198,177
3196,CHELSEA,-38.052346,145.115941,67,2108,3,3,Southern Melbourne,188,151
3197,CARRUM,-38.076364,145.123205,69,2988,4,3,Southern Melbourne,188,151
3198,SEAFORD,-38.110191,145.142512,37,1510,3,2,Mornington Peninsula,161,121
3199,FRANKSTON,-38.145001,145.122477,110,1912,3,3,Mornington Peninsula,158,127
3201,CARRUM DOWNS,-38.090783,145.191719,,,3,3,Mornington Peninsula,161,121
3204,BENTLEIGH,-37.918057,145.035444,197,4618,4,4,Southern Melbourne,216,183
3205,SOUTH MELBOURNE,-37.93291,145.033718,228,5216,4,4,Inner Melbourne,275,263
3206,ALBERT PARK,-37.840705,144.95571,156,4768,4,4,Inner Melbourne,249,313
3206,MIDDLE PARK,-37.849721,144.965136,,,3,3,Inner Melbourne,249,313
3207,PORT MELBOURNE,-37.975682,145.030468,100,2255,3,3,Inner Melbourne,296,267
3212,LARA,-38.022416,144.407891,28,997,2,2,Geelong,144,123
3214,CORIO,-38.074162,144.358659,55,903,2,3,Geelong,132,93
3215,NORTH GEELONG,-38.110822,144.343406,47,1210,2,2,Geelong,153,115
3216,BELMONT,-38.175587,144.342666,57,858,2,3,Geelong,152,124
3216,GROVEDALE,-38.200538,144.323683,44,1148,2,2,Geelong,152,124
3218,GEELONG WEST,-38.142148,144.348006,75,1460,3,3,Geelong,142,122
3218,HERNE HILL,-38.133564,144.331213,,,3,3,Geelong,142,122
3220,GEELONG,-38.14729,144.360735,216,3169,4,4,Geelong,150,113
3220,NEWTOWN,-38.153717,144.334977,48,1311,3,2,Geelong,153,136
3226,OCEAN GROVE,-38.270293,144.540778,90,1851,3,3,Other Regional Centres,163,133
3227,BARWON HEADS,-38.281078,144.49179,90,1851,3,3,Other Regional Centres,163,133
3228,TORQUAY,-38.332818,144.32389,99,1853,3,3,Other Regional Centres,170,155
3280,WARRNAMBOOL,-38.383313,142.482959,257,5066,4,4,Other Regional Centres,125,109
3300,HAMILTON,-37.743025,142.020065,49,909,2,2,Other Regional Centres,97,83
3305,PORTLAND,-38.351032,141.587701,49,720,2,2,Other Regional Centres,90,84
3337,MELTON,-37.683206,144.58315,34,1196,2,2,Outer Western Melbourne,133,106
3350,ALFREDTON,-37.556958,143.817225,38,714,2,2,Ballarat,118,101
3350,BALLARAT,-37.563318,143.863715,174,2878,4,4,Ballarat,125,98
3350,MOUNT CLEAR,-37.603114,143.868659,,,3,3,Ballarat,122,107
3355,WENDOUREE,-37.54022,143.831297,33,924,2,2,Ballarat,118,101
3356,DELACOMBE,-37.58453,143.807662,14,545,1,1,Ballarat,120,93
3356,SEBASTOPOL,-37.597592,143.841026,,,3,3,Ballarat,120,93
3357,BUNINYONG,-37.648547,143.918563,18,484,1,1,Ballarat,122,107
3400,HORSHAM,-36.711714,142.204899,67,1480,3,3,Other Regional Centres,107,91
3429,SUNBURY,-37.576859,144.731425,17,850,2,1,North Western Melbourne,161,118
3450,CASTLEMAINE,-37.063869,144.217101,45,779,2,2,Other Regional Centres,141,114
3500,MILDURA,-34.181714,142.163072,219,5104,4,4,Other Regional Centres,104,101
3550,BENDIGO,-36.758492,144.280075,158,1863,3,4,Bendigo,125,101
3550,FLORA HILL,-36.774405,144.290098,16,451,1,1,Bendigo,124,102
3550,NORTH BENDIGO,-36.748507,144.280995,,,3,3,Bendigo,124,98
3555,GOLDEN SQUARE,-36.774862,144.263168,55,1041,2,3,Bendigo,128,99
3555,KANGAROO FLAT,-36.796876,144.243973,55,1041,2,3,Bendigo,128,99
3564,ECHUCA,-36.128659,144.748178,90,1553,3,3,Other Regional Centres,125,111
3585,SWAN HILL,-35.336175,143.560181,55,1267,2,3,Other Regional Centres,114,90
3630,SHEPPARTON,-36.381171,145.39929,248,6260,4,4,Other Regional Centres,112,97
3660,SEYMOUR,-37.025311,145.134148,22,412,1,2,Other Regional Centres,110,93
3671,BENALLA,-36.385144,145.420691,37,868,2,2,Other Regional Centres,100,91
3689,WODONGA,-36.124428,146.876389,73,2000,3,3,Other Regional Centres,116,106
3757,WHITTLESEA,-37.513714,145.115089,27,745,2,2,North Eastern Melbourne,148,120
3802,ENDEAVOUR HILLS,-37.975281,145.254481,53,1642,3,3,South Eastern Melbourne,160,118
3805,NARRE WARREN,-38.026383,145.306933,179,4728,4,4,South Eastern Melbourne,159,120
3806,BERWICK,-38.030467,145.344621,102,3736,4,3,South Eastern Melbourne,166,125
3810,PAKENHAM,-38.077355,145.493402,81,2826,4,3,South Eastern Melbourne,144,116
3820,WARRAGUL,-38.163058,145.93086,79,2287,3,3,Other Regional Centres,133,107
3825,MOE,-38.176609,146.264851,42,703,2,2,Other Regional Centres,85,83
3825,NEWBOROUGH,-38.183607,146.288321,42,703,2,2,Other Regional Centres,85,83
3840,MORWELL,-38.23681,146.398703,46,809,2,2,Other Regional Centres,91,77
3844,TRARALGON,-38.193322,146.538373,115,1853,3,3,Other Regional Centres,115,97
3850,SALE,-38.109349,147.068418,59,1141,2,3,Other Regional Centres,113,91
3860,MAFFRA,-37.966701,146.975445,43,1304,3,2,Other Regional Centres,113,91
3875,BAIRNSDALE,-37.825114,147.628962,61,1415,3,3,Other Regional Centres,120,100
3915,HASTINGS,-38.30771,145.190507,61,1463,3,3,Mornington Peninsula,157,127
3929,FLINDERS,-38.473815,145.01628,43,1043,2,2,Mornington Peninsula,157,127
3930,MT ELIZA,-38.187263,145.089626,63,2125,3,3,Mornington Peninsula,183,152
3931,MORNINGTON,-38.238386,145.064195,100,2613,4,3,Mornington Peninsula,183,152
3934,MT MARTHA,-38.302366,144.994873,34,1620,3,2,Mornington Peninsula,183,152
3936,DROMANA,-38.333311,144.963564,60,1020,2,3,Mornington Peninsula,159,123
3944,PORTSEA,-38.338347,144.709285,,,3,3,Mornington Peninsula,159,123
3976,HAMPTON PARK,-38.032221,145.267863,49,1153,2,2,South Eastern Melbourne,159,120
3977,CRANBOURNE,-38.11122,145.268832,69,1210,2,3,South Eastern Melbourne,152,121
