,university,campus,from suburb,distance
111,La Trobe University,Main,OAKLEIGH,20.717972058346653
112,La Trobe University,Main,CLAYTON,24.162562705170917
113,La Trobe University,Main,MULGRAVE,17.780516991343145
114,La Trobe University,Main,SPRINGVALE,29.754296128301768
115,La Trobe University,Main,NOBLE PARK,30.210439099837775
116,La Trobe University,Main,DANDENONG,33.635813626293256
117,La Trobe University,Main,DANDENONG NORTH,31.152990201400463
118,La Trobe University,Main,ROWVILLE,28.95774492179278
119,La Trobe University,Main,SCORESBY,25.479157733699363
120,La Trobe University,Main,PRAHRAN,15.38686090931384
121,La Trobe University,Main,WINDSOR,16.12743771597811
122,La Trobe University,Main,ST KILDA,17.692424145376147
123,La Trobe University,Main,ELWOOD,19.723920885827706
124,La Trobe University,Main,ELSTERNWICK,18.983803863418093
125,La Trobe University,Main,BRIGHTON,22.299798097895895
126,La Trobe University,Main,BRIGHTON EAST,21.216701737352118
127,La Trobe University,Main,HAMPTON,20.655304013322805
128,La Trobe University,Main,CHELTENHAM,27.57460991724839
129,La Trobe University,Main,BEAUMARIS,29.98975709494502
130,La Trobe University,Main,MENTONE,29.65605507905349
131,La Trobe University,Main,ASPENDALE,34.834416621639875
132,La Trobe University,Main,MORDIALLOC,32.526098519670825
133,La Trobe University,Main,PARKDALE,30.81643383866499
134,La Trobe University,Main,CHELSEA,37.87283616221022
135,La Trobe University,Main,CARRUM,40.6159912603945
136,La Trobe University,Main,SEAFORD,44.62940891643987
137,La Trobe University,Main,FRANKSTON,48.149604822118874
138,La Trobe University,Main,CARRUM DOWNS,43.60541972389139
139,La Trobe University,Main,BENTLEIGH,22.39147185235103
140,La Trobe University,Main,SOUTH MELBOURNE,24.0489313232812
141,La Trobe University,Main,ALBERT PARK,15.77591737971509
142,La Trobe University,Main,MIDDLE PARK,16.292398834666216
143,La Trobe University,Main,PORT MELBOURNE,28.81747061450128
144,La Trobe University,Main,LARA,65.3647593790421
145,La Trobe University,Main,CORIO,72.08751546695706
146,La Trobe University,Main,NORTH GEELONG,75.49043150037537
147,La Trobe University,Main,BELMONT,79.92207334677599
148,La Trobe University,Main,GROVEDALE,82.9770105870904
149,La Trobe University,Main,GEELONG WEST,77.23745561112905
150,La Trobe University,Main,HERNE HILL,77.83782167973281
151,La Trobe University,Main,GEELONG,76.71171588270688
152,La Trobe University,Main,NEWTOWN,78.92738554486711
153,La Trobe University,Main,OCEAN GROVE,75.73689563949146
154,La Trobe University,Main,BARWON HEADS,79.26130047657784
155,La Trobe University,Main,TORQUAY,93.15403269684464
156,La Trobe University,Main,WARRNAMBOOL,236.35724477187802
157,La Trobe University,Main,HAMILTON,266.1641425327384
158,La Trobe University,Main,PORTLAND,311.0634395000415
159,La Trobe University,Main,MELTON,40.69384220971969
160,La Trobe University,Main,ALFREDTON,109.5292953978364
161,La Trobe University,Main,BALLARAT,105.36625768343731
162,La Trobe University,Main,MOUNT CLEAR,104.27818611022359
163,La Trobe University,Main,WENDOUREE,108.63940737301981
164,La Trobe University,Main,DELACOMBE,109.88741554818273
165,La Trobe University,Main,SEBASTOPOL,106.77430504282752
166,La Trobe University,Main,BUNINYONG,99.36932280069428
167,La Trobe University,Main,HORSHAM,275.3629199689942
168,La Trobe University,Main,SUNBURY,31.599025395082336
169,La Trobe University,Main,CASTLEMAINE,103.07256350627588
170,La Trobe University,Main,MILDURA,471.35417622531594
171,La Trobe University,Main,BENDIGO,126.32535969205894
172,La Trobe University,Main,FLORA HILL,124.35008883825567
173,La Trobe University,Main,NORTH BENDIGO,127.2246050304464
174,La Trobe University,Main,GOLDEN SQUARE,125.6042319310478
175,La Trobe University,Main,KANGAROO FLAT,124.51903308141459
176,La Trobe University,Main,ECHUCA,178.747832210322
177,La Trobe University,Main,SWAN HILL,296.3621756126466
178,La Trobe University,Main,SHEPPARTON,152.0283564786221
179,La Trobe University,Main,SEYMOUR,77.41603213064391
180,La Trobe University,Main,BENALLA,152.00372963320527
181,La Trobe University,Main,WODONGA,6.572947403235552
182,La Trobe University,Main,WHITTLESEA,23.500286417672694
183,La Trobe University,Main,ENDEAVOUR HILLS,34.227908615880565
184,La Trobe University,Main,NARRE WARREN,41.51091570956147
